Code,Date,Observed,Suggested,Anomaly (std.devs.),Deleted
08821005_0,2000-06-01,662.6,NA,NA,1
08367001_0,2005-05-01,607.5,NA,NA,1
08220005_3,2009-08-01,606,NA,NA,1
08140001_6,2000-06-01,823,NA,NA,1
08930000_2,2020-06-01,1124.1,NA,NA,1
08122003_4,1992-05-01,847.7,NA,NA,1
*ERA5_08140001_6,2000-05-01,545.9862,NA,NA,1
*ERA5_08210002_4,2000-05-01,524.5819,NA,NA,1
*ERA5_08210003_2,2000-05-01,503.8872,NA,NA,1
*ERA5_08220005_3,2000-05-01,503.8872,NA,NA,1
*ERA5_08220006_1,2000-05-01,503.8872,NA,NA,1
*ERA5_08220008_8,2000-05-01,503.8872,NA,NA,1
*ERA5_08220015_0,2000-05-01,545.9862,NA,NA,1
*ERA5_08358005_4,2000-05-01,702.3201,NA,NA,1
*ERA5_08385010_8,2000-05-01,610.5537,NA,NA,1
*ERA5_08391003_8,2000-05-01,752.1057,NA,NA,1
*ERA5_08393002_0,2000-05-01,621.1967,NA,NA,1
*ERA5_08394001_8,2000-05-01,503.8872,NA,NA,1
*ERA5_08394006_9,2000-05-01,503.8872,NA,NA,1
*ERA5_08394011_5,2000-05-01,519.2604,NA,NA,1
*ERA5_08400001_9,2000-05-01,595.89,NA,NA,1
*ERA5_08410001_3,2000-05-01,503.8872,NA,NA,1
*ERA5_08410002_1,2000-05-01,503.8872,NA,NA,1
*ERA5_08410005_6,2000-05-01,621.1967,NA,NA,1
*ERA5_08420001_8,2000-05-01,668.026,NA,NA,1
*ERA5_08500001_2,2000-05-01,971.1151,NA,NA,1
*ERA5_08520000_3,2000-05-01,684.7,NA,NA,1
*ERA5_08520002_K,2000-05-01,752.1057,NA,NA,1
*ERA5_08600004_0,2000-05-01,645.2026,NA,NA,1
*ERA5_08700001_K,2000-05-01,819.3932,NA,NA,1
*ERA5_08700002_8,2000-05-01,819.3932,NA,NA,1
*ERA5_08700003_6,2000-05-01,819.3932,NA,NA,1
*ERA5_08930000_2,2000-05-01,629.9477,NA,NA,1
*ERA5_EXT_1005,1997-05-01,421.1082,NA,NA,1
*ERA5_EXT_1005,2000-05-01,504.5967,NA,NA,1
*ERA5_EXT_1005,2001-06-01,359.23,NA,NA,1
*ERA5_EXT_1015,2000-05-01,819.3932,NA,NA,1
*ERA5_EXT_1026,2000-05-01,437.4275,NA,NA,1
*ERA5_EXT_111,2000-05-01,503.8872,NA,NA,1
*ERA5_EXT_955,2000-05-01,629.9477,NA,NA,1
*ERA5_EXT_975,2000-05-01,592.6971,NA,NA,1
*ERA5_EXT_990,2000-05-01,819.3932,NA,NA,1
*ERA5_EXT_998,2000-05-01,752.1057,NA,NA,1
*ERA5_INIA_10,2000-05-01,503.8872,NA,NA,1
*ERA5_INIA_144,2000-05-01,600.502,NA,NA,1
*ERA5_INIA_15,2000-05-01,621.1967,NA,NA,1
*ERA5_INIA_161,2000-05-01,629.9477,NA,NA,1
*ERA5_INIA_209,2000-05-01,577.3239,NA,NA,1
*ERA5_INIA_308,2000-05-01,645.2026,NA,NA,1
*ERA5_INIA_310,2000-05-01,545.9862,NA,NA,1
*ERA5_INIA_325,2000-05-01,695.816,NA,NA,1
08821005_0,2000-05-01,NA,NA,NA,1
08410001_3,2000-05-01,556.5,NA,NA,1
08210002_4,2000-05-01,498.4,NA,NA,1
08367001_0,2000-05-01,515,NA,NA,1
08367001_0,2003-05-01,476,NA,NA,1
08367001_0,2005-04-01,NA,NA,NA,1
08220005_3,2005-05-01,530.8,NA,NA,1
08220005_3,2009-07-01,NA,NA,NA,1
08140001_6,2000-05-01,NA,NA,NA,1
08122002_6,2000-05-01,764.1,NA,NA,1
*ERA5_08140001_6,2000-04-01,NA,NA,NA,1
*ERA5_08210002_4,2000-04-01,NA,NA,NA,1
*ERA5_08210003_2,2000-04-01,NA,NA,NA,1
*ERA5_08220005_3,2000-04-01,NA,NA,NA,1
*ERA5_08220006_1,2000-04-01,NA,NA,NA,1
*ERA5_08220008_8,2000-04-01,NA,NA,NA,1
*ERA5_08220015_0,2000-04-01,NA,NA,NA,1
*ERA5_08319001_9,2000-04-01,581.5811,NA,NA,1
*ERA5_08319002_7,2000-04-01,581.5811,NA,NA,1
*ERA5_08323001_0,2000-04-01,581.5811,NA,NA,1
*ERA5_08324001_6,2000-04-01,581.5811,NA,NA,1
*ERA5_08330002_7,2000-04-01,679.8515,NA,NA,1
*ERA5_08332002_8,2000-04-01,679.8515,NA,NA,1
*ERA5_08334001_0,2000-04-01,569.2825,NA,NA,1
*ERA5_08334002_9,2000-04-01,569.2825,NA,NA,1
*ERA5_08353001_4,2000-04-01,536.2892,NA,NA,1
*ERA5_08358002_K,2000-04-01,577.0874,NA,NA,1
*ERA5_08358003_8,2000-04-01,577.0874,NA,NA,1
*ERA5_08358005_4,2000-04-01,NA,NA,NA,1
*ERA5_08364001_4,2000-04-01,581.5811,NA,NA,1
*ERA5_08366002_3,2000-04-01,581.5811,NA,NA,1
*ERA5_08367001_0,2000-04-01,587.3756,NA,NA,1
*ERA5_08372001_8,2000-04-01,754.9438,NA,NA,1
*ERA5_08381003_3,2000-04-01,648.2773,NA,NA,1
*ERA5_08385010_8,2000-04-01,NA,NA,NA,1
*ERA5_08391003_8,2000-04-01,NA,NA,NA,1
*ERA5_08391003_8,2003-04-01,570.2877,NA,NA,1
*ERA5_08393002_0,2000-04-01,NA,NA,NA,1
*ERA5_08394001_8,2000-04-01,NA,NA,NA,1
*ERA5_08394006_9,2000-04-01,NA,NA,NA,1
*ERA5_08394011_5,2000-04-01,NA,NA,NA,1
*ERA5_08400001_9,2000-04-01,NA,NA,NA,1
*ERA5_08410001_3,2000-04-01,NA,NA,NA,1
*ERA5_08410002_1,2000-04-01,NA,NA,NA,1
*ERA5_08410005_6,2000-04-01,NA,NA,NA,1
*ERA5_08420001_8,2000-04-01,NA,NA,NA,1
*ERA5_08500001_2,2000-04-01,NA,NA,NA,1
*ERA5_08500001_2,2003-04-01,793.0813,NA,NA,1
*ERA5_08520000_3,2000-04-01,NA,NA,NA,1
*ERA5_08520000_3,2003-04-01,504.8332,NA,NA,1
*ERA5_08520002_K,2000-04-01,NA,NA,NA,1
*ERA5_08520002_K,2003-04-01,570.2877,NA,NA,1
*ERA5_08600004_0,2000-04-01,NA,NA,NA,1
*ERA5_08600004_0,2003-04-01,468.2331,NA,NA,1
*ERA5_08700001_K,2000-04-01,NA,NA,NA,1
*ERA5_08700001_K,2003-04-01,649.1642,NA,NA,1
*ERA5_08700002_8,2000-04-01,NA,NA,NA,1
*ERA5_08700002_8,2003-04-01,649.1642,NA,NA,1
*ERA5_08700003_6,2000-04-01,NA,NA,NA,1
*ERA5_08700003_6,2003-04-01,649.1642,NA,NA,1
*ERA5_08821005_0,2000-04-01,626.4,NA,NA,1
*ERA5_08821006_9,2000-04-01,626.4,NA,NA,1
*ERA5_08822008_0,2000-04-01,550.4799,NA,NA,1
*ERA5_08930000_2,2000-04-01,NA,NA,NA,1
*ERA5_09153001_5,2000-04-01,651.1154,NA,NA,1
*ERA5_EXT_1005,1997-04-01,NA,NA,NA,1
*ERA5_EXT_1005,2000-04-01,NA,NA,NA,1
*ERA5_EXT_1005,2001-05-01,NA,NA,NA,1
*ERA5_EXT_1006,2000-04-01,587.3756,NA,NA,1
*ERA5_EXT_1015,2000-04-01,NA,NA,NA,1
*ERA5_EXT_1015,2003-04-01,649.1642,NA,NA,1
*ERA5_EXT_1026,2000-04-01,NA,NA,NA,1
*ERA5_EXT_1026,2001-05-01,304.8706,NA,NA,1
*ERA5_EXT_1026,2020-04-01,273.7617,NA,NA,1
*ERA5_EXT_111,2000-04-01,NA,NA,NA,1
*ERA5_EXT_162,2000-04-01,581.5811,NA,NA,1
*ERA5_EXT_180,2000-04-01,577.0874,NA,NA,1
*ERA5_EXT_229,2000-04-01,569.2825,NA,NA,1
*ERA5_EXT_955,2000-04-01,NA,NA,NA,1
*ERA5_EXT_975,2000-04-01,NA,NA,NA,1
*ERA5_EXT_990,2000-04-01,NA,NA,NA,1
*ERA5_EXT_990,2003-04-01,649.1642,NA,NA,1
*ERA5_EXT_998,2000-04-01,NA,NA,NA,1
*ERA5_EXT_998,2003-04-01,570.2877,NA,NA,1
*ERA5_INIA_10,2000-04-01,NA,NA,NA,1
*ERA5_INIA_144,2000-04-01,NA,NA,NA,1
*ERA5_INIA_15,2000-04-01,NA,NA,NA,1
*ERA5_INIA_157,2000-04-01,499.5117,NA,NA,1
*ERA5_INIA_161,2000-04-01,NA,NA,NA,1
*ERA5_INIA_18,2000-04-01,541.256,NA,NA,1
*ERA5_INIA_206,2000-04-01,499.5117,NA,NA,1
*ERA5_INIA_209,2000-04-01,NA,NA,NA,1
*ERA5_INIA_209,2001-05-01,437.2787,NA,NA,1
*ERA5_INIA_21,2000-04-01,581.5811,NA,NA,1
*ERA5_INIA_237,2000-04-01,577.0874,NA,NA,1
*ERA5_INIA_28,2000-04-01,541.256,NA,NA,1
*ERA5_INIA_308,2000-04-01,NA,NA,NA,1
*ERA5_INIA_308,2003-04-01,468.2331,NA,NA,1
*ERA5_INIA_310,2000-04-01,NA,NA,NA,1
*ERA5_INIA_312,2000-04-01,580.7533,NA,NA,1
*ERA5_INIA_322,2000-04-01,550.4799,NA,NA,1
*ERA5_INIA_325,2000-04-01,NA,NA,NA,1
*ERA5_INIA_328,2000-04-01,679.8515,NA,NA,1
*ERA5_INIA_36,2000-04-01,626.4,NA,NA,1
*ERA5_INIA_84,2000-04-01,626.4,NA,NA,1
10901003_0,2012-09-01,64.5,NA,NA,2
08822008_0,2009-01-01,10.5,NA,NA,2
08822008_0,2014-12-01,0,NA,NA,3
08822008_0,2018-09-01,67,NA,NA,2
08318002_1,2015-01-01,0,NA,NA,3
08220006_1,2001-12-01,0,NA,NA,2
08220006_1,2005-01-01,0,NA,NA,2
08220006_1,2015-01-01,0,NA,NA,2
08220006_1,2017-12-01,0,NA,NA,3
08220006_1,2019-02-01,13,NA,NA,2
11034001_K,2012-10-01,180.5,NA,NA,2
08520000_3,2004-11-01,63,NA,NA,2
08520000_3,2005-01-01,0,NA,NA,2
08520000_3,2008-11-01,0,NA,NA,4
08520000_3,2011-12-01,0,NA,NA,2
08520000_3,2014-11-01,0,NA,NA,5
08520000_3,2016-11-01,0,NA,NA,3
08520000_3,2019-01-01,0,NA,NA,3
08317003_4,2015-01-01,0,NA,NA,3
08410001_3,1996-01-01,0,NA,NA,2
08410001_3,1998-01-01,0,NA,NA,2
10106001_2,2015-01-01,0,NA,NA,2
08700001_K,2015-01-01,0,NA,NA,2
08210002_4,1995-12-01,0,NA,NA,2
08210002_4,1998-01-01,0,NA,NA,2
08210002_4,2001-12-01,0,NA,NA,2
08210002_4,2007-09-01,51,NA,NA,2
08210002_4,2017-01-01,11,NA,NA,2
10312001_2,1998-11-01,25.6,NA,NA,2
10312001_2,2013-06-01,168.6,NA,NA,2
08220008_8,2015-01-01,0,NA,NA,2
08366002_3,2015-02-01,0,NA,NA,2
08366002_3,2020-07-01,0,NA,NA,5
10410004_K,2015-10-01,58.5,NA,NA,2
10410004_K,2016-09-01,109.5,NA,NA,2
10701001_7,2020-02-01,64,NA,NA,2
08367001_0,1995-12-01,0,NA,NA,2
08367001_0,1998-01-01,0,NA,NA,2
08367001_0,2001-12-01,0,NA,NA,2
08367001_0,2013-01-01,0,NA,NA,2
08367001_0,2015-01-01,0,NA,NA,3
08367001_0,2019-03-01,1,NA,NA,2
08364001_4,2000-12-01,48.5,NA,NA,2
08364001_4,2001-09-01,19,NA,NA,2
08364001_4,2014-03-01,65.5,NA,NA,2
08364001_4,2015-01-01,0,NA,NA,3
08364001_4,2020-02-01,13.5,NA,NA,2
08220005_3,1995-12-01,0,NA,NA,2
08220005_3,1997-12-01,0,NA,NA,3
08220005_3,1999-10-01,0,NA,NA,4
08220005_3,2000-03-01,0,NA,NA,2
08220005_3,2005-01-01,0,NA,NA,2
08220005_3,2005-12-01,5,NA,NA,2
08220005_3,2011-12-01,0,NA,NA,2
08220005_3,2015-01-01,0,NA,NA,2
08220005_3,2016-01-01,0,NA,NA,2
08220005_3,2017-12-01,0,NA,NA,3
08220005_3,2019-02-01,0,NA,NA,2
08220005_3,2019-12-01,0,NA,NA,2
10102002_9,2015-01-01,0,NA,NA,2
10102002_9,2019-01-01,0.1,NA,NA,2
08334002_9,2015-01-01,0,NA,NA,3
08332002_8,2015-01-01,0,NA,NA,3
08330002_7,1995-12-01,0,NA,NA,2
08330002_7,2005-01-01,0,NA,NA,2
08330002_7,2015-01-01,0,NA,NA,3
08330002_7,2016-01-01,0,NA,NA,2
08358004_6,2015-01-01,0,NA,NA,3
10355001_7,2005-03-01,99.4,NA,NA,2
10902002_8,2003-03-01,48.3,NA,NA,2
08316001_2,1998-02-01,0,NA,NA,2
08316001_2,2008-12-01,17.5,NA,NA,2
08316001_2,2015-01-01,0,NA,NA,3
08140001_6,1995-01-01,0,NA,NA,2
08140001_6,1995-12-01,0,NA,NA,2
08140001_6,1998-01-01,0,NA,NA,2
08140001_6,1999-12-01,4,NA,NA,2
08140001_6,2001-12-01,0,NA,NA,2
08140001_6,2004-01-01,0,NA,NA,2
08140001_6,2005-01-01,0,NA,NA,2
08140001_6,2011-10-01,35.5,NA,NA,2
08140001_6,2019-12-01,0,NA,NA,2
08334001_0,2013-12-01,0,NA,NA,2
08334001_0,2015-01-01,0,NA,NA,3
08334001_0,2017-03-01,4.6,NA,NA,2
08334001_0,2020-02-01,0,NA,NA,3
08394001_8,2009-01-01,3.6,NA,NA,2
08317001_8,2015-01-01,0,NA,NA,3
08323001_0,2015-01-01,0,NA,NA,3
08380001_1,2015-01-01,0,NA,NA,2
10340001_5,2012-10-01,45,NA,NA,2
08319002_7,2000-04-01,51,NA,NA,2
08319002_7,2015-01-01,0,NA,NA,3
08319002_7,2016-01-01,0,NA,NA,2
08320001_4,2001-12-01,0,NA,NA,2
08320001_4,2004-01-01,0,NA,NA,2
08320001_4,2012-10-01,108,NA,NA,2
10371001_4,2017-05-01,242.6,NA,NA,2
08122002_6,1998-01-01,7,NA,NA,2
08122003_4,2008-01-01,9,NA,NA,2
08122003_4,2015-01-01,0,NA,NA,3
08122003_4,2015-12-01,0,NA,NA,3
08122003_4,2019-01-01,0,NA,NA,3
*ERA5_08334001_0,1996-08-01,24.83368,NA,NA,2
*ERA5_08334002_9,1996-08-01,24.83368,NA,NA,2
*ERA5_08821005_0,1997-12-01,5.084991,NA,NA,2
*ERA5_08821006_9,1997-12-01,5.084991,NA,NA,2
*ERA5_10901002_2,2010-08-01,95.78705,NA,NA,2
*ERA5_10901003_0,2010-08-01,95.78705,NA,NA,2
*ERA5_10901004_9,2010-08-01,95.78705,NA,NA,2
*ERA5_EXT_1026,1994-12-01,0.05912781,NA,NA,2
*ERA5_EXT_229,1996-08-01,24.83368,NA,NA,2
*ERA5_INIA_230,2010-08-01,95.78705,NA,NA,2
*ERA5_INIA_231,2010-08-01,95.78705,NA,NA,2
*ERA5_INIA_36,1997-12-01,5.084991,NA,NA,2
*ERA5_INIA_84,1997-12-01,5.084991,NA,NA,2
